Index,Depth,Magnitude,MaxIntensity
1694,27,4.0,1
1696,13,2.5,1
1698,43,3.1,1
1702,12,2.8,1
1704,55,3.3,1
1705,50,4.9,1
1706,13,2.9,1
1707,13,2.7,1
1708,13,3.3,1
1709,12,3.0,1
1710,12,2.9,1
1715,31,3.1,1
1716,10,2.9,1
1720,43,3.5,1
1721,4,2.4,1
1723,13,3.1,1
1727,13,3.1,1
1728,10,2.9,1
1729,3,2.1,1
1730,9,2.7,1
1732,21,4.0,1
1733,20,4.4,1
1735,27,4.3,1
1736,19,3.9,1
1737,8,2.2,1
1738,74,4.1,1
1740,5,2.2,1
1741,12,2.3,1
1744,18,3.3,1
1745,62,4.0,1
1746,11,2.3,1
1749,12,2.9,1
1750,7,2.4,1
1751,4,2.5,1
1752,28,2.8,1
1755,27,2.9,1
1756,27,3.3,1
1757,48,3.5,1
1758,27,3.0,1
1759,58,4.0,1
1763,11,3.0,1
1765,9,2.4,1
1766,86,3.8,1
1767,8,1.4,1
1768,8,3.3,1
1769,9,3.5,1
1771,57,3.4,1
1772,130,3.8,1
1776,13,3.1,1
1778,38,4.4,1
1779,46,3.3,1
1780,107,3.4,1
1781,6,2.4,1
1784,9,2.1,1
1785,8,2.3,1
1787,13,2.7,1
1788,11,2.8,1
1789,16,3.0,1
1790,14,3.4,1
1791,24,3.7,1
1793,10,2.9,1
1794,10,2.8,1
1795,11,2.4,1
1798,68,3.3,1
1801,21,3.2,1
1802,53,3.8,1
1803,9,1.7,1
1804,44,3.8,1
1805,18,3.9,1
1806,5,2.8,1
1808,45,3.5,1
1810,40,3.5,1
1811,85,3.5,1
1814,40,3.3,1
1816,11,2.3,1
1818,14,3.0,1
1819,24,3.9,1
1820,12,2.7,1
1821,40,3.9,1
1822,136,4.2,1
1823,35,3.9,1
1826,19,2.3,1
1830,68,3.9,1
1831,45,3.4,1
1833,58,3.6,1
1834,5,2.1,1
1835,44,3.4,1
1836,65,3.5,1
1837,6,2.1,1
1838,49,3.7,1
1839,4,2.5,1
1840,15,3.0,1
1841,48,3.2,1
1842,52,3.5,1
1843,133,4.4,1
1844,11,2.7,1
1846,5,2.2,1
1851,55,3.8,1
1854,52,3.4,1
1859,16,2.8,1
1860,14,2.5,1
1862,59,3.6,1
1866,15,3.0,1
1867,10,2.5,1
1868,70,3.2,1
1869,50,3.4,1
1872,107,4.0,1
1875,6,2.6,1
1876,8,2.1,1
1879,44,3.6,1
1880,12,2.6,1
1881,10,2.3,1
1883,6,2.7,1
1884,287,4.7,1
1886,25,4.1,1
1887,104,3.5,1
1890,43,3.6,1
1891,9,2.5,1
1893,9,2.2,1
1894,10,2.3,1
1895,12,2.9,1
1896,4,2.5,1
1898,45,3.8,1
1900,6,2.5,1
1901,24,3.4,1
1902,54,3.7,1
1903,3,1.7,1
1905,53,3.8,1
1906,82,3.3,1
1908,77,3.8,1
1909,44,3.4,1
1910,93,3.9,1
1911,75,3.1,1
1914,75,3.6,1
1916,52,2.7,1
1917,7,2.7,1
1919,7,2.8,1
1920,8,3.0,1
1921,43,3.6,1
1923,21,2.5,1
1924,11,3.0,1
1925,11,2.9,1
1928,41,3.1,1
1929,9,2.8,1
1930,55,3.3,1
1931,12,2.4,1
1932,31,3.2,1
1933,35,4.3,1
1934,12,2.7,1
1935,36,4.2,1
1936,11,2.7,1
1937,12,2.8,1
1939,53,3.5,1
1940,11,2.1,1
1943,7,2.7,1
1944,50,3.5,1
1946,125,3.8,1
1947,65,4.0,1
1950,29,2.9,1
1951,28,3.8,1
1952,46,3.5,1
1953,38,3.8,1
1954,34,3.6,1
1955,15,4.7,1
1956,11,3.6,1
1957,52,3.3,1
1959,11,2.3,1
1961,6,2.3,1
1963,58,3.3,1
1964,24,4.3,1
1966,15,2.5,1
1967,15,2.9,1
1969,122,3.8,1
1972,13,2.5,1
1973,62,3.4,1
1975,13,2.2,1
1976,61,3.3,1
1978,410,5.4,1
1980,15,2.6,1
1981,13,2.5,1
1982,14,2.2,1
1985,12,2.1,1
1988,32,3.1,1
1989,41,3.2,1
1990,12,2.6,1
1991,23,4.9,1
1993,8,2.6,1
1995,53,3.4,1
1998,10,2.3,1
1999,9,2.4,1
